StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q17,Q19,Q10_1,Q10_2,Q10_3,Q8_1,Q8_2,Q8_3,Q23_1,Q23_2,Q23_3,Q25_1,Q25_2,Q25_3,Q24_1,Q24_2,Q24_3,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q15,Q16,Q16_4_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How often do you play golf?,"What is your golf handicap? If not sure, skip to next question.",What is your average 18-hole score?,"In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Behind By 1 Stroke","In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - On the Same Stroke","In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 1 Stroke","In the same situation as the last question, how aggressively/conservatively would you play? After this putt, you will be ______ to/as your competitor. - Behind By 1 Stroke","In the same situation as the last question, how aggressively/conservatively would you play? After this putt, you will be ______ to/as your competitor. - On the Same Stroke","In the same situation as the last question, how aggressively/conservatively would you play? After this putt, you will be ______ to/as your competitor. - Ahead by 1 Stroke","You are currently at a distance where you need to play your long iron (5- or 6- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 2 Stroke","You are currently at a distance where you need to play your long iron (5- or 6- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 3 Strokes","You are currently at a distance where you need to play your long iron (5- or 6- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 4 Strokes","You are currently at a distance where you need to play your short iron (8- or 9- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 2 Stroke","You are currently at a distance where you need to play your short iron (8- or 9- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 3 Strokes","You are currently at a distance where you need to play your short iron (8- or 9- iron). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 4 Strokes","You are currently at a distance where you need to play your wedge (Sand Wedge/54-56 degree Wedge). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 2 Stroke","You are currently at a distance where you need to play your wedge (Sand Wedge/54-56 degree Wedge). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 3 Strokes","You are currently at a distance where you need to play your wedge (Sand Wedge/54-56 degree Wedge). In the following situations, would you target and aim at Point A or Point B? After this putt, you will be ______ to/as your competitor. - Ahead by 4 Strokes","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - When making a decision, I think much more about what might be lost than what might be gained.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - The pain of losing money matters more than the pleasure of gaining the same amount of money.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - I feel nervous when I have to make a decision that may lead to loss.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - The pain from losing something matters much more to me than the pleasure from getting it.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - Experiencing a major loss stays in my mind longer than experiencing a major gain.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - A potential failure scares me more than a potential success encourages me.","Below are 7 statements. On a scale of Strongly Disagree to Strongly Agree, select how relatable each statement is to you (1 = Strongly Disagree, 7 = Strongly Agree). - The suffering that comes with losses can be fully offset by the pleasure that comes from gains.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}"
2022-08-12 10:24:12,2022-08-12 10:24:19,1,,100,6,1,2022-08-12 10:24:20,R_3G3ajCqAEicZXKo,,,,,42.0215,-71.2188,preview,EN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 10:37:17,2022-08-12 10:37:27,0,75.26.217.163,100,9,1,2022-08-12 10:37:27,R_4Z7p9uvcLhW3j8t,,,,,25.4572,-80.4587,anonymous,EN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 10:35:45,2022-08-12 10:37:51,0,216.39.37.198,100,126,1,2022-08-12 10:37:52,R_1cZgNs48eJMSy6E,,,,,40.7503,-74.0014,anonymous,EN,3,,25,1,1,2,3,5,4,1,2,1,1,2,2,1,2,1,6,7,5,4,6,6,7,2,2,
2022-08-12 10:36:18,2022-08-12 10:38:03,0,208.218.224.175,100,105,1,2022-08-12 10:38:04,R_3Mz0l6Mre13Gz2F,,,,,37.9186,-121.3132,anonymous,EN,1,25,15,1,2,1,4,3,4,1,1,2,2,2,1,1,1,2,4,6,5,3,5,4,6,4,1,
2022-08-12 10:36:18,2022-08-12 10:38:21,0,163.123.221.240,100,123,1,2022-08-12 10:38:21,R_2tnxPIfGMn0lNI5,,,,,33.8358,-117.9063,anonymous,EN,1,number that represents the golfer's ability based on their previous golf round's scores,"108 ",1,2,1,3,5,4,1,1,2,1,2,2,1,2,1,4,6,5,6,4,6,5,4,1,
2022-08-12 10:35:43,2022-08-12 10:38:52,0,208.218.231.2,100,189,1,2022-08-12 10:38:53,R_2xF4kBn3y9KfJlO,,,,,40.7484,-73.862,anonymous,EN,4,,57,2,1,2,5,5,3,1,2,1,2,2,1,1,2,2,7,6,6,7,7,4,7,4,2,
2022-08-12 10:37:59,2022-08-12 10:38:58,0,208.203.222.123,100,59,1,2022-08-12 10:38:59,R_z6YmeiC8OJcAr2p,,,,,40.7126,-74.0066,anonymous,EN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 10:35:41,2022-08-12 10:39:05,0,208.218.230.14,100,204,1,2022-08-12 10:39:06,R_3hG8cZw12ws0eCo,,,,,40.7484,-73.862,anonymous,EN,4,,10,2,1,2,3,3,4,1,2,2,2,2,1,1,1,2,5,5,5,5,6,5,6,3,2,
